run_id,sequence,backend,perturb_type,perturb_axis,perturb_magnitude,perturb_units,status,ate_rmse_m,rpe_trans_rmse_m,rpe_rot_rmse_deg,completion_rate,config_path,config_exists,trajectory_path,trajectory_exists,evo_summary_path,evo_summary_exists,included_reports
openvins_MH01_nominal_full_000,MH_01_easy,openvins,nominal,none,0,none,success,0.139204,0.048954,0.268658,0.740891,results/configs_used/openvins_MH01_nominal_full_000/estimator_config_full_safe.yaml,true,results/trajectories/nominal/openvins_MH01_nominal_full_000/openvins_estimate.tum,true,results/evo/nominal/openvins_MH01_nominal_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md;reports/mh01_rotation_z_sweep.md;reports/mh01_mh03_rotation_z_5deg_summary.md
openvins_MH01_rot_z_5deg_full_000,MH_01_easy,openvins,rotation,z,5.0,deg,success,2.064969,0.194584,0.343487,0.740881,results/configs_used/openvins_MH01_rot_z_5deg_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_rot_z_5deg_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_rot_z_5deg_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md;reports/mh01_rotation_z_sweep.md;reports/mh01_mh03_rotation_z_5deg_summary.md
openvins_MH01_rot_z_0p5deg_full_000,MH_01_easy,openvins,rotation,z,0.5,deg,success,0.100281,0.029226,0.229276,0.740881,results/configs_used/openvins_MH01_rot_z_0p5deg_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_rot_z_0p5deg_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_rot_z_0p5deg_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md;reports/mh01_rotation_z_sweep.md
openvins_MH01_rot_z_1deg_full_000,MH_01_easy,openvins,rotation,z,1.0,deg,success,0.117957,0.033253,0.260834,0.740881,results/configs_used/openvins_MH01_rot_z_1deg_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_rot_z_1deg_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_rot_z_1deg_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md;reports/mh01_rotation_z_sweep.md
openvins_MH01_rot_z_2deg_full_000,MH_01_easy,openvins,rotation,z,2.0,deg,success,0.188732,0.042565,0.237368,0.740881,results/configs_used/openvins_MH01_rot_z_2deg_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_rot_z_2deg_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_rot_z_2deg_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md;reports/mh01_rotation_z_sweep.md
openvins_MH01_trans_y_5cm_full_000,MH_01_easy,openvins,translation,y,5.0,cm,success,0.095484,0.003577,0.042328,0.740881,results/configs_used/openvins_MH01_trans_y_5cm_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_trans_y_5cm_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_trans_y_5cm_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md
openvins_MH01_trans_y_2cm_full_000,MH_01_easy,openvins,translation,y,2.0,cm,success,0.073369,0.002520,0.040947,0.740881,results/configs_used/openvins_MH01_trans_y_2cm_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_trans_y_2cm_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_trans_y_2cm_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md
openvins_MH01_trans_y_1cm_full_000,MH_01_easy,openvins,translation,y,1.0,cm,success,0.100477,0.003801,0.047589,0.740881,results/configs_used/openvins_MH01_trans_y_1cm_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH01_trans_y_1cm_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH01_trans_y_1cm_full_000/evo_summary.json,true,reports/mh01_rotation_vs_translation_error_budget.md
openvins_MH03_nominal_full_000,MH_03_medium,openvins,nominal,none,0,none,success,0.107259,0.004381,0.018141,0.849802,results/configs_used/openvins_MH03_nominal_full_000/estimator_config.yaml,true,results/trajectories/nominal/openvins_MH03_nominal_full_000/openvins_estimate.tum,true,results/evo/nominal/openvins_MH03_nominal_full_000/evo_summary.json,true,reports/mh03_rotation_z_sensitivity.md;reports/mh01_mh03_rotation_z_5deg_summary.md
openvins_MH03_rot_z_5deg_full_000,MH_03_medium,openvins,rotation,z,5.0,deg,success,831.507723,1.944413,0.072117,0.849802,results/configs_used/openvins_MH03_rot_z_5deg_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH03_rot_z_5deg_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH03_rot_z_5deg_full_000/evo_summary.json,true,reports/mh03_rotation_z_sensitivity.md;reports/mh01_mh03_rotation_z_5deg_summary.md
openvins_MH03_rot_z_2deg_full_000,MH_03_medium,openvins,rotation,z,2.0,deg,success,0.353662,0.094482,0.268001,0.849802,results/configs_used/openvins_MH03_rot_z_2deg_full_000/estimator_config.yaml,true,results/trajectories/perturbed/openvins_MH03_rot_z_2deg_full_000/openvins_estimate.tum,true,results/evo/perturbed/openvins_MH03_rot_z_2deg_full_000/evo_summary.json,true,reports/mh03_rotation_z_sensitivity.md
